Paper,Cited-by
P04-1015,D07-1009
P04-1015,E06-1011
P04-1015,P05-1023
P04-1015,P06-1096
P04-1015,P11-1069
P04-1015,J07-4004
P04-1054,C08-1088
P04-1054,P06-1104
P04-1054,P08-2023
P06-1114,S12-1065
P06-1114,C10-1087
P06-1114,P08-1081
P07-1033,C08-1003
P07-1033,C10-1145
P07-1033,J11-3002
P07-1033,P10-2056
P07-1033,P13-2012
P07-1056,C08-1135
P07-1056,P08-2059
P07-1056,P08-2065
P07-1056,P11-1014
P08-2026,P11-2049
P09-1113,D10-1099
P09-1113,P12-1076
P09-1113,N13-1008
P11-2071,D12-1003
P11-2071,D12-1025
P11-2071,D13-1109
P11-2071,P13-2072
P94-1013,W95-0104
P95-1026,W99-0613
P95-1026,P02-1046
P95-1026,J04-3004
P95-1026,P01-1008
P95-1026,C08-1135
P95-1026,P07-1125
P96-1025,A00-2015
P96-1025,A97-1004
P96-1025,C00-1017
P96-1025,C00-1029
P96-1025,C00-1043
P96-1025,C00-1051
P96-1025,C00-2141
P96-1025,C00-2146
P96-1025,C02-1112
P96-1025,E03-1051
P96-1025,E06-1012
P96-1025,E09-1097
P96-1025,E99-1025
P96-1025,J06-2003
P96-1025,J08-3003
P96-1025,J11-3004
P96-1025,M98-1009
P96-1025,P10-1002
P96-1025,P11-2123
P97-1003,P98-1091
P97-1003,P98-1106
P97-1003,P98-2148
P97-1003,P98-2234
P97-1003,P99-1059
P97-1003,P99-1065
P97-1003,P00-1058
P97-1003,P00-1060
P97-1003,P00-1061
P97-1003,J02-3001
P97-1003,P02-1018
P97-1003,P02-1031
P97-1003,P02-1043
P97-1003,P03-1002
P97-1003,P03-1013
P97-1003,P03-1055
P97-1003,P04-1043
P97-1003,P04-1047
P97-1003,P04-1082
P97-1003,P05-1006
P97-1003,P05-1018
P97-1023,P02-1053
W01-0521,P04-1014
W01-0521,P06-1043
W01-0521,P10-1036
W01-0521,W05-1516
W01-0521,D09-1085
W02-1001,W03-0422
W02-1001,W04-0824
W02-1001,P12-1111
W02-1001,P13-4016
W02-1001,N03-1033
W02-1001,D13-1033
W02-1001,E06-1011
W03-0430,P04-1007
W03-0430,P05-1002
W03-0430,P05-1003
W03-0430,P05-1044
W03-0430,P06-1028
W03-0430,P06-1078
W03-0430,P08-1056
W03-0430,P08-1081
W03-0430,P10-1136
W03-0430,P12-1055
W03-0430,W04-0705
W03-0430,W04-1221
W03-0430,W04-3230
W03-0430,W04-3234
W04-2405,E12-1017
W04-3103,P07-1125
W04-3111,D07-1112
W04-3111,D07-1128
W04-3111,D07-1119
W04-3111,W08-0605
W04-3111,D07-1126
W04-3111,W08-0504
W04-3111,P10-1089
W04-3111,P07-1031
W04-3111,P09-1117
W04-3111,I05-2038
W04-3252,C08-1040
W06-1615,P07-1056
W07-1412,E12-1004
W07-1412,P08-1118
W07-1412,P12-1047
W07-1412,W09-2501
W07-1412,W10-1609
W07-1412,W11-0135
W07-1412,W11-2404
W09-0404,N10-1045
W09-0404,W11-2112
W96-0213,A00-1031
W96-0213,A00-2013
W96-0213,A00-2020
W96-0213,A97-1004
W96-0213,E03-1002
W96-0213,J01-3003
W96-0213,N04-1013
W96-0213,W02-0301
W96-0213,W03-0424
W96-0213,W03-0428
W96-0213,P02-1055
W96-0213,P99-1023
W97-0703,W00-1438
W97-0710,P04-3020
W99-0613,P01-1008
W99-0613,P02-1046
W99-0613,W11-0319
W99-0613,W09-1116
W99-0613,P07-1125
W06-2925,D07-1101
W06-2925,D08-1059
W06-2925,J08-3003
W06-2925,J11-1005
W06-2925,N12-1032
W06-2925,P10-1002
W06-2925,W07-2217
W03-0428,D07-1016
W03-0428,D08-1003
W03-0428,D11-1144
W03-0428,P05-1001
W03-0428,P05-2023
W03-0428,P09-1116
W03-0428,P11-3019
W03-0428,W07-1712
C00-2105,D07-1091
P04-1084,C08-2026
P04-1084,C10-2157
P04-1084,D07-1078
P04-1084,P04-1083
P04-1084,P06-1123
P04-1084,P10-1146
P05-1045,C10-1064
P05-1045,C10-1083
P05-1045,C10-1087
P05-1045,C10-1091
P05-1045,C10-1105
P05-1045,C10-1131
P05-1045,C10-2058
P05-1045,C10-2078
P05-1045,C10-3011
P05-1045,D07-1033
P05-1045,D08-1035
P05-1045,D09-1016
P05-1045,D09-1057
P05-1045,D09-1101
P05-1045,D09-1119
P05-1045,D09-1120
P05-1045,D09-1158
P05-1045,D10-1048
P05-1045,D10-1099
P05-1045,D11-1034
P05-1045,D11-1072
P05-1045,D11-1075
P05-1045,D11-1135
P05-1045,D11-1141
P05-1045,D11-1144
P05-1045,D12-1009
P05-1045,D12-1042
P05-1045,D12-1072
P05-1045,D12-1076
P05-1045,D12-1080
P05-1045,D12-1092
P05-1045,D12-1131
P05-1045,D13-1040
P05-1045,D13-1042
P05-1045,D13-1043
P05-1045,D13-1103
P05-1045,D13-1117
P05-1045,D13-1136
P05-1045,D13-1142
P05-1045,D13-1159
P05-1045,D13-1178
P05-1045,D13-1191
P05-1045,E09-1007
P05-1045,E09-1011
P05-1045,E09-1037
P05-1045,E09-1091
P05-1045,E12-1029
P05-1045,E12-1033
P05-1045,E12-1054
P05-1045,I08-4013
P05-1045,I08-5014
P05-1045,I08-6004
P05-1045,J11-1002
P05-1045,D11-1034
P05-1045,D11-1034
P05-1045,N06-1054
P05-1045,N07-1009
P05-1045,N07-1011
P05-1045,N07-1042
P05-1045,N07-2046
P05-1045,N09-1037
P05-1045,N09-1068
P05-1045,N10-1068
P05-1045,N10-1072
P05-1045,N10-1117
P05-1045,N10-1121
P05-1045,N12-1008
P05-1045,N12-1013
P05-1045,N12-1065
P05-1045,N12-1080
P05-1045,N12-1084
P05-1045,N12-1085
P05-1045,N13-1006
P05-1045,N13-1007
P05-1045,N13-1037
P05-1045,N13-1059
P05-1045,N13-1063
P05-1045,P06-1059
P05-1045,P06-1089
P05-1045,P06-1141
P05-1045,P06-2054
P05-1045,P08-1031
P05-1045,P08-2012
P05-1045,P08-4003
P05-1045,P09-1113
P05-1045,P09-2041
P05-1045,P10-1015
P05-1045,P10-1056
P05-1045,P10-1148
P05-1045,P10-2029
P05-1045,P10-2049
P05-1045,P11-1037
P05-1045,P11-1082
P05-1045,P11-1113
P05-1045,P11-1114
P05-1045,P11-3004
P05-1045,P12-1042
P05-1045,P12-1072
P05-1045,P12-1073
P05-1045,P12-1075
P05-1045,P12-1087
P05-1045,P12-1089
P05-1045,P12-2013
P05-1045,P12-2024
P05-1045,P12-2064
P05-1045,P12-2069
P05-1045,P12-3003
P05-1045,P12-3013
P05-1045,P13-1106
P05-1045,P13-1129
P05-1045,P13-1146
P05-1045,P13-1166
P05-1045,P13-2036
P05-1045,P13-2116
P05-1045,P13-2128
P05-1045,P13-2141
P05-1045,P13-4023
P05-1045,Q13-1028
P05-1045,S10-1020
P05-1045,S12-1035
P05-1045,S12-1082
P05-1045,S12-1085
P05-1045,S13-1010
P05-1045,S13-1014
P05-1045,S13-1018
P05-1045,S13-1021
P05-1045,S13-1023
P05-1045,W06-1643
P05-1045,W06-1655
P05-1045,W09-0422
P05-1045,W09-1119
P05-1045,W09-1218
P05-1045,W10-0725
P05-1045,W10-1902
P05-1045,W10-2420
P05-1045,W10-2906
P05-1045,W10-3102
P05-1045,W11-0219
P05-1045,W11-0810
P05-1045,W11-0902
P05-1045,W11-1513
P05-1045,W11-1723
P05-1045,W11-1907
P05-1045,W11-1908
P05-1045,W11-2202
P05-1045,W11-2705
P05-1045,W12-0102
P05-1045,W12-0103
P05-1045,W12-0604
P05-1045,W12-2007
P05-1045,W12-2408
P05-1045,W12-2903
P05-1045,W12-3109
P05-1045,W13-0905
P05-1045,W13-1101
P05-1045,W13-2114
P05-1045,W13-2234
P05-1045,W13-2414
P05-1045,W13-3516
P05-1045,W13-3616
P05-1045,W13-4008
P05-1045,C10-1064
P05-1045,C10-1083
P05-1045,C10-1087
P05-1045,C10-1091
P05-1045,C10-1105
P05-1045,C10-1131
P05-1045,C10-2058
P05-1045,C10-2078
P05-1045,C10-3011
P05-1045,D07-1033
P05-1045,D08-1035
P05-1045,D09-1016
P05-1045,D09-1057
P05-1045,D09-1101
P05-1045,D09-1119
P05-1045,D09-1120
P05-1045,D09-1158
P05-1045,D10-1048
P05-1045,D10-1099
P05-1045,D11-1034
P05-1045,D11-1072
P05-1045,D11-1075
P05-1045,D11-1135
P05-1045,D11-1141
P05-1045,D11-1144
P05-1045,D12-1009
P05-1045,D12-1042
P05-1045,D12-1072
P05-1045,D12-1076
P05-1045,D12-1080
P05-1045,D12-1092
P05-1045,D12-1131
P05-1045,D13-1040
P05-1045,D13-1042
P05-1045,D13-1043
P05-1045,D13-1103
P05-1045,D13-1117
P05-1045,D13-1136
P05-1045,D13-1142
P05-1045,D13-1159
P05-1045,D13-1178
P05-1045,D13-1191
P05-1045,E09-1007
P05-1045,E09-1011
P05-1045,E09-1037
P05-1045,E09-1091
P05-1045,E12-1029
P05-1045,E12-1033
P05-1045,E12-1054
P05-1045,I08-4013
P05-1045,I08-5014
P05-1045,I08-6004
P05-1045,J11-1002
P05-1045,D11-1034
P05-1045,J13-2001
P05-1045,N06-1054
P05-1045,N07-1009
P05-1045,N07-1011
P05-1045,N07-1042
P05-1045,N07-2046
P05-1045,N09-1037
P05-1045,N09-1068
P05-1045,N10-1068
P05-1045,N10-1072
P05-1045,N10-1117
P05-1045,N10-1121
P05-1045,N12-1008
P05-1045,N12-1013
P05-1045,N12-1065
P05-1045,N12-1080
P05-1045,N12-1084
P05-1045,N12-1085
P05-1045,N13-1006
P05-1045,N13-1007
P05-1045,N13-1037
P05-1045,N13-1059
P05-1045,N13-1063
P05-1045,P06-1059
P05-1045,P06-1089
P05-1045,P06-1141
P05-1045,P06-2054
P05-1045,P08-1031
P05-1045,P08-2012
P05-1045,P08-4003
P05-1045,P09-1113
P05-1045,P09-2041
P05-1045,P10-1015
P05-1045,P10-1056
P05-1045,P10-1148
P05-1045,P10-2029
P05-1045,P10-2049
P05-1045,P11-1037
P05-1045,P11-1082
P05-1045,P11-1113
P05-1045,P11-1114
P05-1045,P11-3004
P05-1045,P12-1042
P05-1045,P12-1072
P05-1045,P12-1073
P05-1045,P12-1075
P05-1045,P12-1087
P05-1045,P12-1089
P05-1045,P12-2013
P05-1045,P12-2024
P05-1045,P12-2064
P05-1045,P12-2069
P05-1045,P12-3003
P05-1045,P12-3013
P05-1045,P13-1106
P05-1045,P13-1129
P05-1045,P13-1146
P05-1045,P13-1166
P05-1045,P13-2036
P05-1045,P13-2116
P05-1045,P13-2128
P05-1045,P13-2141
P05-1045,P13-4023
P05-1045,Q13-1028
P05-1045,S10-1020
P05-1045,S12-1035
P05-1045,S12-1082
P05-1045,S12-1085
P05-1045,S13-1010
P05-1045,S13-1014
P05-1045,S13-1018
P05-1045,S13-1021
P05-1045,S13-1023
P05-1045,W06-1643
P05-1045,W06-1655
P05-1045,W09-0422
P05-1045,W09-1119
P05-1045,W09-1218
P05-1045,W10-0725
P05-1045,W10-1902
P05-1045,W10-2420
P05-1045,W10-2906
P05-1045,W10-3102
P05-1045,W11-0219
P05-1045,W11-0810
P05-1045,W11-0902
P05-1045,W11-1513
P05-1045,W11-1723
P05-1045,W11-1907
P05-1045,W11-1908
P05-1045,W11-2202
P05-1045,W11-2705
P05-1045,W12-0102
P05-1045,W12-0103
P05-1045,W12-0604
P05-1045,W12-2007
P05-1045,W12-2408
P05-1045,W12-2903
P05-1045,W12-3109
P05-1045,W13-0905
P05-1045,W13-1101
P05-1045,W13-2114
P05-1045,W13-2234
P05-1045,W13-2414
P05-1045,W13-3516
P05-1045,W13-3616
P05-1045,W13-4008
