citaion, cited by, # direct citations, experiment, introduction, related work, discussion, conclusion, results, future work, other, f8
P05-1045,P09-1113,1,0,0,0,0,0,0,0,1,0.02564102564102564
P04-1054,P08-2023,1,0,0,1,0,0,0,0,0,0.16666666666666666
J96-1002,A00-1019,1,0,0,0,0,0,0,0,1,0.07692307692307693
H05-1079,W06-1621,0,0,0,0,0,0,0,0,0,0
P11-2071,D12-1025,1,0,1,0,0,0,0,0,0,0.03225806451612903
P05-1045,P11-1113,1,0,0,1,0,0,0,0,0,0.1111111111111111
W01-0521,P06-1043,4,1,0,1,0,0,0,0,2,0.13793103448275862
P05-1045,D10-1048,1,0,0,0,0,0,0,0,1,0.024390243902439025
P05-1045,P13-2036,1,0,0,0,0,0,0,0,1,0.05
P02-1057,P13-1151,1,0,0,0,0,0,0,0,1,0.02040816326530612
P03-1054,C04-1097,0,0,0,0,0,0,0,0,0,0.0
W96-0213,A97-1004,0,0,0,0,0,0,0,0,0,0.0
N03-1028,W10-2923,1,1,0,0,0,0,0,0,0,0.022727272727272728
A97-1011,E12-1072,1,0,0,0,0,0,0,0,1,0.018867924528301886
P05-1045,N12-1065,1,0,0,0,0,0,0,0,1,0.09090909090909091
H05-1079,P11-1059,1,0,0,1,0,0,0,0,0,0.03571428571428571
H05-1079,Q13-1015,1,0,1,0,0,0,0,0,0,0.015625
P05-1045,P06-1059,0,0,0,0,0,0,0,0,0,0
A00-1043,P02-1057,1,0,1,0,0,0,0,0,0,0.04
P05-1045,D13-1191,1,0,0,0,0,0,0,0,1,0.021739130434782608
P05-1045,W12-2007,1,0,0,0,0,0,0,0,1,0.030303030303030304
P05-1045,N07-1011,0,0,0,0,0,0,0,0,0,0
N03-1028,P03-1064,1,0,1,0,0,0,0,0,0,0.020833333333333332
W04-2405,E12-1017,2,1,0,1,0,0,0,0,0,0.03278688524590164
W96-0213,A00-2013,3,0,0,0,0,0,2,0,1,0.16666666666666666
P96-1025,A97-1004,1,0,1,0,0,0,0,0,0,0.2
W04-3111,W08-0605,0,0,0,0,0,0,0,0,0,0
W06-1615,P07-1056,5,0,1,1,0,1,0,0,2,0.20833333333333334
P96-1025,E99-1025,1,0,1,0,0,0,0,0,0,0.03333333333333333
P97-1003,P03-1013,9,3,2,0,0,0,0,0,4,0.20454545454545456
P05-1045,E12-1033,1,0,0,0,0,0,0,0,1,0.02564102564102564
P04-1015,D07-1009,1,0,0,0,0,0,0,0,1,0.02631578947368421
C00-1072,C08-1021,1,0,0,0,0,0,0,0,1,0.05263157894736842
W07-1412,E12-1004,1,0,0,0,0,0,0,0,1,0.02040816326530612
P05-1045,W13-2414,1,0,0,0,0,0,0,0,1,0.045454545454545456
P05-1045,W12-0604,1,1,0,0,0,0,0,0,0,0.0625
P05-1045,P08-4003,1,0,0,0,0,0,0,0,1,0.03571428571428571
P05-1045,P12-2024,1,1,0,0,0,0,0,0,0,0.047619047619047616
C00-1072,P10-1094,1,0,0,1,0,0,0,0,0,0.03125
C02-1025,C10-2104,1,0,0,0,0,0,0,0,1,0.03125
C02-1025,P05-1045,1,0,0,1,0,0,0,0,0,0.038461538461538464
C02-1025,P06-1141,2,0,0,0,0,1,0,0,1,0.0625
P05-1045,W09-1218,1,0,0,0,0,0,0,0,1,0.05555555555555555
P05-1045,P13-4023,1,0,0,0,0,0,0,0,1,0.0625
P05-1045,D12-1080,1,0,0,0,0,0,0,0,1,0.02857142857142857
P04-1015,C08-2012,1,0,1,0,0,0,0,0,0,0.2
P03-1069,P04-1050,1,0,0,0,0,0,0,0,1,0.03571428571428571
P97-1003,P99-1059,1,0,1,0,0,0,0,0,0,0.038461538461538464
N03-1028,C10-1082,1,0,0,0,0,0,0,0,1,0.03225806451612903
N04-4028,P11-1149,1,0,0,0,0,1,0,0,0,0.02040816326530612
P97-1003,P02-1043,3,0,0,0,0,0,0,0,3,0.10344827586206896
W03-0430,P12-1055,1,0,0,1,0,0,0,0,0,0.027777777777777776
W96-0213,J01-3003,0,0,0,0,0,0,0,0,0,0.0
J96-1002,P99-1069,1,0,0,0,0,0,0,0,1,0.06666666666666667
I05-2038,C10-1076,1,0,0,0,0,0,0,0,1,0.029411764705882353
W07-1412,W11-2404,1,0,1,0,0,0,0,0,0,0.08333333333333333
J96-1002,C02-1064,1,0,0,0,0,0,0,0,1,0.047619047619047616
P95-1026,W99-0613,0,0,0,0,0,0,0,0,0,0
C00-1072,P09-1023,0,0,0,0,0,0,0,0,0,0
C02-1025,P03-1028,5,0,0,0,0,0,0,0,5,0.1724137931034483
P06-1114,S12-1065,0,0,0,0,0,0,0,0,0,0
P05-1045,I08-6004,1,1,0,0,0,0,0,0,0,0.07692307692307693
W01-0521,W05-1516,1,0,1,0,0,0,0,0,0,0.038461538461538464
P05-1045,C10-1131,0,0,0,0,0,0,0,0,0,0.0
P05-1045,C10-2058,1,0,0,0,0,0,0,0,1,0.015151515151515152
C02-1025,P06-1089,2,0,1,1,0,0,0,0,0,0.07142857142857142
W03-0430,W04-0705,0,0,0,0,0,0,0,0,0,0.0
P05-1045,N13-1063,0,0,0,0,0,0,0,0,0,0.0
P04-1084,P04-1083,1,0,0,0,0,0,0,0,1,0.041666666666666664
P05-1045,W10-2420,1,0,0,0,0,0,0,0,1,0.043478260869565216
P05-1045,P11-1082,1,0,0,0,0,0,0,0,1,0.02631578947368421
W06-2925,W07-2217,1,0,0,0,0,0,0,0,1,0.017241379310344827
N03-1028,C08-1094,1,0,0,0,0,0,0,0,1,0.09090909090909091
P05-1045,N13-1006,1,1,0,0,0,0,0,0,0,0.038461538461538464
P96-1025,P11-2123,0,0,0,0,0,0,0,0,0,0.0
P05-1045,W06-1643,1,0,0,0,0,0,0,0,1,0.023809523809523808
H05-1079,J07-3004,1,0,0,0,0,1,0,0,0,0.007874015748031496
P06-1114,P08-1081,1,0,0,0,0,0,0,0,1,0.03333333333333333
P05-1045,P12-1089,0,0,0,0,0,0,0,0,0,0.0
P05-1045,W09-1119,2,0,0,0,0,1,0,0,1,0.04878048780487805
P05-1045,W12-2408,2,0,0,0,0,0,0,0,2,0.1111111111111111
P11-2071,P13-2072,0,0,0,0,0,0,0,0,0,0.0
P05-1045,P13-1146,0,0,0,0,0,0,0,0,0,0.0
W02-1001,N03-1033,5,4,1,0,0,0,0,0,0,0.125
C00-1072,P08-1092,1,0,0,1,0,0,0,0,0,0.047619047619047616
W96-0213,E03-1002,1,1,0,0,0,0,0,0,0,0.027777777777777776
A97-1011,P01-1006,1,0,0,0,0,0,0,0,1,0.027777777777777776
P04-1084,C10-2157,1,0,0,0,0,0,0,0,1,0.03333333333333333
P96-1025,C00-2141,0,0,0,0,0,0,0,0,0,0.0
W03-0430,P06-1078,2,0,1,0,0,0,0,0,1,0.07407407407407407
W96-0213,W02-0301,2,0,0,0,0,0,0,0,2,0.044444444444444446
P05-1045,W10-0725,1,1,0,0,0,0,0,0,0,0.16666666666666666
P05-1045,D12-1131,1,0,0,1,0,0,0,0,0,0.01818181818181818
W03-0430,P05-1002,1,0,1,0,0,0,0,0,0,0.047619047619047616
J96-1002,C00-1060,0,0,0,0,0,0,0,0,0,0.0
P02-1053,P06-2079,2,0,0,2,0,0,0,0,0,0.0425531914893617
C00-1072,P08-1090,1,0,0,0,0,0,0,0,1,0.047619047619047616
J96-1002,P10-1142,0,0,0,0,0,0,0,0,0,0.0
W06-2925,D07-1101,1,0,0,0,0,0,0,0,1,0.043478260869565216
P97-1003,P00-1060,2,0,1,0,0,0,0,0,1,0.3333333333333333
P05-1045,N12-1080,1,1,0,0,0,0,0,0,0,0.07692307692307693
P97-1003,P05-1006,1,0,0,0,0,0,0,0,1,0.06666666666666667
H05-1079,P06-1051,1,0,0,0,0,0,0,0,1,0.030303030303030304
W01-0521,D09-1085,1,0,1,0,0,0,0,0,0,0.03333333333333333
P05-1045,C10-1091,1,0,0,0,0,0,0,0,1,0.041666666666666664
P05-1045,S13-1023,0,0,0,0,0,0,0,0,0,0
W03-0430,P10-1136,1,0,0,0,0,0,0,0,1,0.037037037037037035
H05-1079,W08-2004,1,0,1,0,0,0,0,0,0,0.029411764705882353
H05-1079,P12-3013,1,0,1,0,0,0,0,0,0,0.058823529411764705
J96-1002,W96-0213,0,0,0,0,0,0,0,0,0,0
P96-1025,C00-2146,1,0,1,0,0,0,0,0,0,0.125
C00-1072,D08-1080,1,0,0,1,0,0,0,0,0,0.037037037037037035
P05-1045,W10-3102,2,0,0,0,0,0,1,0,1,0.08695652173913043
P05-1045,S12-1085,0,0,0,0,0,0,0,0,0,0
P09-1113,D10-1099,10,0,2,1,0,0,0,0,7,0.24390243902439024
N04-4028,D10-1095,0,0,0,0,0,0,0,0,0,0
P96-1025,E03-1051,1,0,1,0,0,0,0,0,0,0.04
J02-3001,P04-1043,3,1,1,0,0,1,0,0,0,0.12
W99-0613,P07-1125,2,0,0,1,1,0,0,0,0,0.06896551724137931
P05-1045,D11-1135,1,1,0,0,0,0,0,0,0,0.05263157894736842
W03-0428,D11-1144,2,0,0,0,0,0,0,0,2,0.045454545454545456
N04-4028,P08-1004,1,0,0,0,0,0,0,0,1,0.03333333333333333
P05-1045,D13-1042,1,1,0,0,0,0,0,0,0,0.023809523809523808
P02-1046,W04-2405,0,0,0,0,0,0,0,0,0,0.0
W09-0404,W11-2112,0,0,0,0,0,0,0,0,0,0.0
A97-1011,C00-2099,0,0,0,0,0,0,0,0,0,0.0
P08-2026,P11-2049,1,0,0,0,0,0,0,0,1,0.05555555555555555
W06-2925,J08-3003,0,0,0,0,0,0,0,0,0,0.0
P05-1045,D12-1009,0,0,0,0,0,0,0,0,0,0.0
C00-1072,P06-4007,1,0,0,0,0,0,0,0,1,0.08333333333333333
A97-1011,A00-2017,0,0,0,0,0,0,0,0,0,0.0
W96-0213,P99-1023,2,1,1,0,0,0,0,0,0,0.06896551724137931
W99-0613,W09-1116,1,0,0,0,0,1,0,0,0,0.02857142857142857
P05-1045,C10-3011,1,0,0,0,0,0,0,0,1,0.1111111111111111
N06-1040,D08-1091,1,0,0,0,0,0,0,0,1,0.018518518518518517
J96-1002,C00-1061,0,0,0,0,0,0,0,0,0,0.0
C00-1072,P02-1058,1,0,0,0,0,0,0,0,1,0.0625
H05-1079,C08-1028,1,0,1,0,0,0,0,0,0,0.058823529411764705
H05-1079,S12-1082,0,0,0,0,0,0,0,0,0,0
P05-1045,D11-1072,0,0,0,0,0,0,0,0,0,0
I05-2038,D09-1157,1,0,0,0,0,0,0,0,1,0.022727272727272728
W96-0213,A00-1031,4,0,1,0,0,0,0,0,3,0.19047619047619047
P05-1045,P13-1106,2,1,0,1,0,0,0,0,0,0.0392156862745098
P96-1025,C00-1029,0,0,0,0,0,0,0,0,0,0.0
P95-1026,J04-3004,1,0,1,0,0,0,0,0,0,0.2
P05-1045,P12-2064,1,1,0,0,0,0,0,0,0,0.058823529411764705
W96-0213,W03-0424,0,0,0,0,0,0,0,0,0,0.0
P05-1045,P12-1042,1,0,0,0,0,0,0,0,1,0.020833333333333332
I05-2038,P06-1128,1,0,0,0,0,0,0,0,1,0.045454545454545456
J02-3001,P07-1071,4,1,1,0,1,0,0,0,1,0.14814814814814814
W99-0613,W11-0319,1,0,0,0,0,1,0,0,0,0.02631578947368421
P05-1045,W11-1908,1,0,0,0,0,0,0,0,1,0.041666666666666664
W02-1001,P13-4016,1,1,0,0,0,0,0,0,0,0.020833333333333332
I05-2038,P06-4005,1,0,0,0,0,0,0,0,1,0.08333333333333333
P03-1069,C10-2105,0,0,0,0,0,0,0,0,0,0
P97-1003,P98-1106,0,0,0,0,0,0,0,0,0,0.0
N03-1028,C08-1113,1,0,0,0,0,0,0,0,1,0.0625
P05-1045,N13-1037,1,0,1,0,0,0,0,0,0,0.01282051282051282
P05-1045,J11-1002,0,0,0,0,0,0,0,0,0,0.0
J96-1002,C10-3004,1,0,0,0,0,0,0,0,1,0.14285714285714285
W06-2925,J11-1005,0,0,0,0,0,0,0,0,0,0
C00-1072,D09-1032,1,0,0,0,0,0,0,0,1,0.058823529411764705
P05-1045,P10-1148,0,0,0,0,0,0,0,0,0,0.0
P05-1045,N10-1072,1,0,0,0,0,0,0,0,1,0.0625
N03-1028,C04-1081,1,0,0,0,0,0,0,0,1,0.034482758620689655
P05-1045,P11-1037,3,0,1,1,0,0,0,0,1,0.07692307692307693
N06-1040,C08-5001,1,0,0,0,0,1,0,0,0,0.0196078431372549
W04-3103,P07-1125,3,0,0,1,0,0,0,0,2,0.10344827586206896
W04-3111,W08-0504,0,0,0,0,0,0,0,0,0,0.0
P11-2071,D13-1109,0,0,0,0,0,0,0,0,0,0.0
P05-1045,N13-1007,1,1,0,0,0,0,0,0,0,0.02702702702702703
N04-4028,N06-1038,1,0,0,0,0,0,0,0,1,0.03571428571428571
P05-1045,P12-1073,1,0,0,0,0,0,0,0,1,0.038461538461538464
P05-1045,W11-1513,0,0,0,0,0,0,0,0,0,0
P07-1033,P13-2012,1,0,0,0,0,0,0,0,1,0.05555555555555555
W03-0428,P11-3019,0,0,0,0,0,0,0,0,0,0.0
P07-1033,C08-1003,0,0,0,0,0,0,0,0,0,0.0
P05-1045,W10-1902,1,0,0,1,0,0,0,0,0,0.05263157894736842
P97-1003,P04-1082,2,0,1,0,0,0,0,0,1,0.06666666666666667
P05-1045,S10-1020,1,0,0,0,0,0,0,0,1,0.05263157894736842
P01-1048,N04-1026,3,0,1,0,0,0,0,0,2,0.061224489795918366
P96-1025,C00-1043,0,0,0,0,0,0,0,0,0,0
P05-1045,P13-2116,1,1,0,0,0,0,0,0,0,0.02702702702702703
H05-1079,S12-1108,0,0,0,0,0,0,0,0,0,0
P97-1003,P00-1061,1,0,1,0,0,0,0,0,0,0.045454545454545456
P09-1113,P12-1076,4,2,1,1,0,0,0,0,0,0.14814814814814814
P05-1045,N10-1117,1,0,1,0,0,0,0,0,0,0.047619047619047616
P05-1045,N09-1037,0,0,0,0,0,0,0,0,0,0
W99-0613,P01-1008,2,0,0,0,0,0,0,0,2,0.07407407407407407
P07-1056,P08-2059,1,0,0,0,0,0,0,0,1,0.058823529411764705
P97-1003,P02-1018,1,0,1,0,0,0,0,0,0,0.1
P05-1045,N12-1085,1,0,0,0,0,0,0,0,1,0.034482758620689655
P05-1045,C10-1064,1,1,0,0,0,0,0,0,0,0.043478260869565216
P05-1045,D10-1099,1,1,0,0,0,0,0,0,0,0.024390243902439025
P96-1025,J08-3003,3,0,0,0,0,0,0,0,3,0.0625
P05-1045,S13-1010,0,0,0,0,0,0,0,0,0,0
C00-1072,P11-1155,1,0,0,1,0,0,0,0,0,0.037037037037037035
W03-0430,P08-1056,0,0,0,0,0,0,0,0,0,0
W04-3111,D07-1126,1,1,0,0,0,0,0,0,0,0.022727272727272728
P05-1045,E09-1011,1,1,0,0,0,0,0,0,0,0.034482758620689655
P05-1045,J13-2001,0,0,0,0,0,0,0,0,0,0.0
P05-1045,P13-1166,0,0,0,0,0,0,0,0,0,0.0
P05-1045,D09-1057,2,0,1,0,0,0,0,0,1,0.05405405405405406
W03-0428,P05-1001,1,1,0,0,0,0,0,0,0,0.038461538461538464
N04-4028,P09-1015,1,0,0,0,0,0,0,0,1,0.025
P03-1069,C04-1108,1,0,0,0,0,0,0,0,1,0.09090909090909091
W97-0703,W00-1438,3,0,2,0,0,0,0,0,1,0.5
P05-1045,D13-1117,1,0,0,0,0,0,0,0,1,0.03571428571428571
P05-1045,P12-2069,1,0,0,0,0,0,0,0,1,0.05263157894736842
P02-1031,P03-1002,5,0,1,0,0,0,0,0,4,0.22727272727272727
W03-0430,P04-1007,1,0,0,0,0,0,0,0,1,0.03125
W03-0430,W04-3230,0,0,0,0,0,0,0,0,0,0.0
W07-1412,P08-1118,1,0,1,0,0,0,0,0,0,0.05
P96-1025,E09-1097,1,0,0,0,0,0,0,0,1,0.034482758620689655
H05-1079,C08-2001,0,0,0,0,0,0,0,0,0,0.0
P97-1003,P98-2234,1,0,0,0,1,0,0,0,0,0.04
P05-1045,D13-1103,1,0,0,0,0,0,0,0,1,0.02631578947368421
P05-1045,E09-1091,0,0,0,0,0,0,0,0,0,0.0
P05-1045,N09-1068,0,0,0,0,0,0,0,0,0,0
N04-4028,P10-1038,1,0,0,0,0,0,0,0,1,0.03333333333333333
P06-1114,C10-1087,1,0,1,0,0,0,0,0,0,0.043478260869565216
P07-1056,C08-1135,0,0,0,0,0,0,0,0,0,0.0
W06-2925,N12-1032,2,0,0,2,0,0,0,0,0,0.03773584905660377
P05-1045,W11-1907,1,0,0,0,0,0,0,0,1,0.07142857142857142
P05-1045,P10-1056,1,0,0,0,0,0,0,0,1,0.02702702702702703
P09-1113,N13-1008,3,1,1,1,0,0,0,0,0,0.06
P03-1002,N04-1030,0,0,0,0,0,0,0,0,0,0
P05-1045,D13-1142,1,0,0,0,0,0,0,0,1,0.047619047619047616
C00-1072,C08-1124,1,0,0,1,0,0,0,0,0,0.045454545454545456
P05-1045,P08-1031,1,0,0,0,0,0,0,0,1,0.058823529411764705
W03-0430,P08-1081,1,0,0,0,0,0,0,0,1,0.03333333333333333
P05-1045,P13-1129,1,0,0,0,0,0,0,0,1,0.05263157894736842
J96-1002,C00-2124,1,0,0,0,0,0,0,0,1,0.045454545454545456
P05-1045,P11-3004,1,0,0,0,0,0,0,0,1,0.058823529411764705
J96-1002,D07-1051,0,0,0,0,0,0,0,0,0,0.0
P05-1045,D08-1035,0,0,0,0,0,0,0,0,0,0.0
P97-1003,P99-1065,0,0,0,0,0,0,0,0,0,0
P05-1045,W12-2903,1,0,0,0,0,0,0,0,1,0.03125
P05-1045,N06-1054,2,0,2,0,0,0,0,0,0,0.09090909090909091
A97-1011,P99-1033,0,0,0,0,0,0,0,0,0,0.0
P05-1045,N07-1009,0,0,0,0,0,0,0,0,0,0
J96-1002,D07-1019,0,0,0,0,0,0,0,0,0,0.0
W04-3111,D07-1119,1,0,0,0,0,0,0,0,1,0.041666666666666664
P05-1045,S13-1018,1,0,0,0,0,0,0,0,1,0.07142857142857142
P05-1045,D07-1033,5,2,1,0,0,1,0,0,1,0.08196721311475409
W02-1001,P12-1111,3,1,1,0,0,0,0,0,1,0.07894736842105263
P05-1045,D11-1075,1,1,0,0,0,0,0,0,0,0.043478260869565216
P05-1045,P12-1072,1,1,0,0,0,0,0,0,0,0.037037037037037035
P03-1069,C10-2170,1,0,0,1,0,0,0,0,0,0.04
W96-0213,W03-0428,1,0,0,0,0,0,0,0,1,0.125
P01-1048,W03-0205,1,0,1,0,0,0,0,0,0,0.022222222222222223
W06-2925,D08-1059,1,0,1,0,0,0,0,0,0,0.024390243902439025
W03-0428,P09-1116,1,0,0,0,0,0,0,0,1,0.047619047619047616
P03-1002,P13-1058,1,0,0,0,0,0,0,0,1,0.023809523809523808
P05-1045,W12-0102,1,0,0,0,0,0,0,0,1,0.03333333333333333
W04-3111,I05-2038,2,0,0,0,1,0,0,0,1,0.18181818181818182
P96-1025,J06-2003,1,0,0,0,0,0,0,0,1,0.01282051282051282
C00-1072,J10-1003,1,0,0,0,0,0,0,0,1,0.012345679012345678
P97-1023,P02-1053,5,0,2,2,1,0,0,0,0,0.17857142857142858
P04-1084,P10-1146,1,0,0,0,0,0,0,0,1,0.029411764705882353
P05-1045,P12-1075,1,1,0,0,0,0,0,0,0,0.02631578947368421
P05-1045,E12-1029,1,0,0,0,0,0,0,0,1,0.02
W06-2925,P10-1002,1,0,0,1,0,0,0,0,0,0.01694915254237288
P07-1033,J11-3002,0,0,0,0,0,0,0,0,0,0.0
P02-1053,P07-1056,2,0,1,1,0,0,0,0,0,0.08333333333333333
P96-1025,J11-3004,3,0,0,0,0,0,0,0,3,0.02097902097902098
P05-1045,N13-1059,1,1,0,0,0,0,0,0,0,0.07692307692307693
P05-1045,W11-0902,1,0,0,1,0,0,0,0,0,0.04
N06-1040,C10-1007,1,0,0,0,0,0,0,0,1,0.02702702702702703
P05-1045,E09-1007,1,1,0,0,0,0,0,0,0,0.034482758620689655
W04-3111,P09-1117,1,1,0,0,0,0,0,0,0,0.047619047619047616
P05-1045,W13-0905,1,1,0,0,0,0,0,0,0,0.05263157894736842
H05-1079,W11-0112,3,0,1,0,0,0,0,0,2,0.09375
W03-0430,P05-1044,0,0,0,0,0,0,0,0,0,0.0
C00-1072,C04-1077,1,1,0,0,0,0,0,0,0,0.05
P05-1045,N07-2046,0,0,0,0,0,0,0,0,0,0
P05-1045,E12-1054,1,0,0,0,0,0,0,0,1,0.02
N03-1028,W05-0622,1,0,1,0,0,0,0,0,0,0.07692307692307693
P97-1003,P98-1091,1,0,0,1,0,0,0,0,0,0.07692307692307693
P95-1026,P07-1125,1,0,0,0,0,0,0,0,1,0.034482758620689655
H05-1079,S13-1002,5,0,0,2,0,0,0,0,3,0.06756756756756757
P05-1045,W13-3616,1,1,0,0,0,0,0,0,0,0.07142857142857142
P05-1045,P09-2041,1,0,0,0,0,0,0,0,1,0.125
J02-3001,C04-1018,0,0,0,0,0,0,0,0,0,0.0
P05-1045,S13-1021,1,0,0,0,0,0,0,0,1,0.038461538461538464
C00-1072,P05-1026,1,0,0,0,0,0,0,0,1,0.05263157894736842
P05-1045,P10-1015,1,0,0,0,0,0,0,0,1,0.05555555555555555
P04-1015,P06-1096,0,0,0,0,0,0,0,0,0,0.0
P03-1002,P07-1075,0,0,0,0,0,0,0,0,0,0.0
P97-1003,P03-1002,0,0,0,0,0,0,0,0,0,0.0
C00-1072,P07-1070,1,0,0,1,0,0,0,0,0,0.027777777777777776
P05-1045,D11-1144,0,0,0,0,0,0,0,0,0,0.0
W01-0521,P04-1014,1,1,0,0,0,0,0,0,0,0.021739130434782608
W96-0213,N04-1013,1,0,1,0,0,0,0,0,0,0.05263157894736842
P01-1048,N03-2018,1,0,1,0,0,0,0,0,0,0.07692307692307693
W99-0613,P02-1046,2,0,0,0,0,0,0,0,2,0.2222222222222222
P05-1045,D09-1119,1,0,1,0,0,0,0,0,0,0.02631578947368421
P05-1045,W13-1101,0,0,0,0,0,0,0,0,0,0.0
A00-1043,C00-2140,1,0,0,0,0,0,0,0,1,0.034482758620689655
J96-1002,P05-1066,1,0,0,0,0,0,0,0,1,0.023809523809523808
A97-1011,W04-1505,0,0,0,0,0,0,0,0,0,0.0
C00-1072,J11-1001,1,0,0,0,0,0,0,0,1,0.14285714285714285
P05-1045,W06-1655,0,0,0,0,0,0,0,0,0,0.0
J96-1002,C00-1064,3,0,1,0,0,0,0,0,2,0.375
P05-1045,W13-4008,1,0,0,0,0,0,0,0,1,0.043478260869565216
C02-1025,P05-1051,1,0,0,0,0,0,0,0,1,0.125
W03-0428,W07-1712,0,0,0,0,0,0,0,0,0,0
P05-1045,P12-3003,1,0,1,0,0,0,0,0,0,0.05
P05-1045,W11-0810,0,0,0,0,0,0,0,0,0,0.0
P05-1045,W09-0422,1,0,0,0,0,0,0,0,1,0.05555555555555555
P96-1025,M98-1009,1,0,0,0,0,0,0,0,1,0.3333333333333333
P04-1015,P11-1069,2,0,1,0,0,0,0,0,1,0.03571428571428571
P96-1025,C02-1112,1,0,0,0,0,0,0,0,1,0.045454545454545456
W04-3111,D07-1112,1,0,1,0,0,0,0,0,0,0.07692307692307693
P95-1026,P01-1008,1,0,0,0,0,0,0,0,1,0.037037037037037035
P05-1045,P12-3013,1,0,1,0,0,0,0,0,0,0.058823529411764705
N03-1028,C08-1106,0,0,0,0,0,0,0,0,0,0.0
W03-0430,P05-1003,1,0,1,0,0,0,0,0,0,0.05263157894736842
P05-1045,D13-1159,2,0,0,1,0,0,0,0,1,0.05263157894736842
H05-1079,P06-2105,0,0,0,0,0,0,0,0,0,0.0
W03-0430,P06-1028,2,0,1,0,0,1,0,0,0,0.06666666666666667
W04-3111,D07-1128,1,0,0,0,0,0,0,0,1,0.047619047619047616
W96-0213,A00-2020,0,0,0,0,0,0,0,0,0,0.0
P97-1003,P05-1018,1,0,0,0,0,0,0,0,1,0.034482758620689655
P05-1045,W10-2906,1,1,0,0,0,0,0,0,0,0.02127659574468085
C00-1072,I08-1016,1,0,1,0,0,0,0,0,0,0.06666666666666667
P04-1084,P06-1123,2,0,0,0,0,1,0,0,1,0.05263157894736842
P07-1056,P08-2065,3,1,0,0,0,0,0,0,2,0.375
P03-1069,P13-2016,4,1,1,1,0,0,0,0,1,0.17391304347826086
W96-0213,P02-1055,0,0,0,0,0,0,0,0,0,0.0
J96-1002,A00-2026,3,0,0,0,1,0,0,0,2,0.25
N04-4028,C04-1081,1,0,0,0,0,0,0,0,1,0.034482758620689655
P05-1045,D12-1042,0,0,0,0,0,0,0,0,0,0.0
P05-1045,W13-2114,1,0,0,0,0,0,0,0,1,0.03571428571428571
J02-3001,D08-1094,1,0,0,0,0,0,0,0,1,0.02127659574468085
H05-1079,D10-1074,1,0,0,1,0,0,0,0,0,0.02857142857142857
P96-1025,P10-1002,1,0,0,0,0,0,0,0,1,0.01694915254237288
P04-1084,D07-1078,1,0,0,0,0,0,0,0,1,0.03125
P04-1084,C08-2026,1,0,0,0,0,0,0,0,1,0.0625
P04-1054,P06-1104,0,0,0,0,0,0,0,0,0,0.0
P05-1045,W12-3109,1,0,0,0,0,0,0,0,1,0.1
P05-1045,W13-3516,1,1,0,0,0,0,0,0,0,0.020833333333333332
J96-1002,W00-0707,2,0,1,0,0,0,0,0,1,0.14285714285714285
P05-1045,D13-1178,1,0,0,0,0,0,0,0,1,0.038461538461538464
P05-1045,I08-4013,1,0,0,0,0,0,0,0,1,0.125
J96-1002,P02-1002,2,0,1,0,0,0,0,0,1,0.08695652173913043
P07-1056,P11-1014,0,0,0,0,0,0,0,0,0,0.0
P05-1045,D11-1141,2,0,0,0,0,1,0,0,1,0.047619047619047616
