Annotator,Paper,Cited-by,Follow-up
A,J02-3001,C04-1018,0
A,J02-3001,D08-1094,0
A,J02-3001,E03-1040,0
A,J02-3001,P04-1043,1
A,J02-3001,P07-1071,0
A,J96-1002,A00-1019,0
A,J96-1002,A00-2026,0
A,J96-1002,A00-2031,0
A,J96-1002,A97-1056,0
A,J96-1002,C00-1060,0
A,J96-1002,C00-1061,0
A,J96-1002,C00-1064,1
A,J96-1002,C00-2124,0
A,J96-1002,C02-1064,1
A,J96-1002,D07-1019,1
A,J96-1002,D07-1051,1
A,J96-1002,C10-3004,0
A,J96-1002,P05-1020,0
A,J96-1002,P10-1142,0
A,J96-1002,P98-2214,0
A,J96-1002,P99-1069,0
A,J96-1002,P02-1002,0
A,J96-1002,P05-1066,0
A,J96-1002,W00-0707,1
A,J96-1002,W02-0813,1
A,J96-1002,W96-0213,0
A,N03-1028,C04-1081,0
A,N03-1028,C08-1094,1
A,N03-1028,C08-1106,0
A,N03-1028,C08-1113,0
A,N03-1028,C10-1082,0
A,N03-1028,P03-1064,0
A,N03-1028,P10-1038,1
A,N03-1028,W05-0622,0
A,N03-1028,W06-1655,0
A,N03-1028,W10-2923,0
A,N04-4028,C04-1081,1
A,N04-4028,D07-1068,0
A,N04-4028,D08-1070,0
A,N04-4028,D10-1095,0
A,N04-4028,N06-1038,0
A,N04-4028,P08-1004,1
A,N04-4028,P09-1015,0
A,N04-4028,P10-1038,1
A,N04-4028,P11-1149,0
A,N06-1040,C08-5001,0
A,N06-1040,C10-1007,0
A,N06-1040,D08-1091,0
A,N06-1040,N07-1051,0
A,P01-1048,N03-2018,1
A,P01-1048,N04-1026,0
A,P01-1048,W01-1610,1
A,P01-1048,W03-0205,0
A,P01-1048,W03-0409,0
A,P02-1031,P03-1002,1
A,P02-1046,W04-2405,1
A,P02-1053,P06-2079,1
A,P02-1053,P07-1056,0
A,P02-1057,P13-1151,0
A,P03-1002,P07-1075,0
A,P03-1002,P13-1058,0
A,P03-1002,N04-1030,1
A,P03-1054,C04-1097,1
A,P03-1054,C04-1097,0
A,P03-1069,C04-1108,0
A,P03-1069,C10-2105,0
A,P03-1069,C10-2170,0
A,P03-1069,D07-1009,0
A,P03-1069,P04-1050,0
A,P03-1069,P13-2016,0
A,P04-1015,C08-2012,0
A,P04-1015,D07-1009,0
A,P04-1015,E06-1011,0
A,P04-1015,P05-1023,0
A,P04-1015,P06-1096,0
A,P04-1015,P11-1069,1
A,P04-1015,J07-4004,0
A,P04-1054,C08-1088,1
A,P04-1054,P06-1104,0
A,P04-1054,P08-2023,0
A,P06-1114,S12-1065,0
A,P06-1114,C10-1087,0
A,P06-1114,P08-1081,0
A,P07-1033,C08-1003,1
A,P07-1033,C10-1145,1
A,P07-1033,J11-3002,1
A,P07-1033,P10-2056,1
A,P07-1033,P13-2012,1
A,P07-1056,C08-1135,0
A,P07-1056,P08-2059,0
A,P07-1056,P08-2065,0
A,P07-1056,P11-1014,1
A,P08-2026,P11-2049,0
A,P09-1113,D10-1099,0
A,P09-1113,P12-1076,1
A,P09-1113,N13-1008,0
A,P11-2071,D12-1003,1
A,P11-2071,D12-1025,0
A,P11-2071,D13-1109,0
A,P11-2071,P13-2072,0
A,P94-1013,W95-0104,1
A,P95-1026,W99-0613,1
A,P95-1026,P02-1046,1
A,P95-1026,J04-3004,1
A,P95-1026,P01-1008,0
A,P95-1026,C08-1135,0
A,P95-1026,P07-1125,0
A,P96-1025,A00-2015,1
A,P96-1025,A97-1004,0
A,P96-1025,C00-1017,0
A,P96-1025,C00-1029,0
A,P96-1025,C00-1043,1
A,P96-1025,C00-1051,1
A,P96-1025,C00-2141,0
A,P96-1025,C00-2146,0
A,P96-1025,C02-1112,1
A,P96-1025,E03-1051,0
A,P96-1025,E06-1012,0
A,P96-1025,E09-1097,0
A,P96-1025,E99-1025,0
A,P96-1025,J06-2003,1
A,P96-1025,J08-3003,0
A,P96-1025,J11-3004,1
A,P96-1025,M98-1009,1
A,P96-1025,P10-1002,0
A,P96-1025,P11-2123,0
A,P97-1003,P98-1091,0
A,P97-1003,P98-1106,1
A,P97-1003,P98-2148,0
A,P97-1003,P98-2234,0
A,P97-1003,P99-1059,1
A,P97-1003,P99-1065,1
A,P97-1003,P00-1058,0
A,P97-1003,P00-1060,0
A,P97-1003,P00-1061,0
A,P97-1003,J02-3001,1
A,P97-1003,P02-1018,0
A,P97-1003,P02-1031,1
A,P97-1003,P02-1043,0
A,P97-1003,P03-1002,1
A,P97-1003,P03-1013,1
A,P97-1003,P03-1055,0
A,P97-1003,P04-1043,1
A,P97-1003,P04-1047,0
A,P97-1003,P04-1082,0
A,P97-1003,P05-1006,1
A,P97-1003,P05-1018,1
A,P97-1023,P02-1053,1
A,W01-0521,P04-1014,0
A,W01-0521,P06-1043,1
A,W01-0521,P10-1036,1
A,W01-0521,W05-1516,0
A,W01-0521,D09-1085,0
A,W02-1001,W03-0422,0
A,W02-1001,W04-0824,0
A,W02-1001,P12-1111,1
A,W02-1001,P13-4016,1
A,W02-1001,N03-1033,0
A,W02-1001,D13-1033,0
A,W02-1001,E06-1011,0
A,W03-0430,P04-1007,0
A,W03-0430,P05-1002,0
A,W03-0430,P05-1003,0
A,W03-0430,P05-1044,0
A,W03-0430,P06-1028,0
A,W03-0430,P06-1078,0
A,W03-0430,P08-1056,0
A,W03-0430,P08-1081,0
A,W03-0430,P10-1136,0
A,W03-0430,P12-1055,0
A,W03-0430,W04-0705,0
A,W03-0430,W04-1221,0
A,W03-0430,W04-3230,0
A,W03-0430,W04-3234,0
A,W04-2405,E12-1017,0
A,W04-3103,P07-1125,1
A,W04-3111,D07-1112,1
A,W04-3111,D07-1128,0
A,W04-3111,D07-1119,1
A,W04-3111,W08-0605,0
A,W04-3111,D07-1126,0
A,W04-3111,W08-0504,0
A,W04-3111,P10-1089,1
A,W04-3111,P07-1031,1
A,W04-3111,P09-1117,1
A,W04-3111,I05-2038,1
A,W04-3252,C08-1040,0
A,W06-1615,P07-1056,1
A,W07-1412,E12-1004,0
A,W07-1412,P08-1118,0
A,W07-1412,P12-1047,0
A,W07-1412,W09-2501,0
A,W07-1412,W10-1609,0
A,W07-1412,W11-0135,0
A,W07-1412,W11-2404,0
A,W09-0404,N10-1045,0
A,W09-0404,W11-2112,0
A,W96-0213,A00-1031,1
A,W96-0213,A00-2013,1
A,W96-0213,A00-2020,0
A,W96-0213,A97-1004,0
A,W96-0213,E03-1002,1
A,W96-0213,J01-3003,1
A,W96-0213,N04-1013,0
A,W96-0213,W02-0301,0
A,W96-0213,W03-0424,0
A,W96-0213,W03-0428,0
A,W96-0213,P02-1055,0
A,W96-0213,P99-1023,1
A,W97-0703,W00-1438,1
A,W97-0710,P04-3020,0
A,W99-0613,P01-1008,1
A,W99-0613,P02-1046,1
A,W99-0613,W11-0319,0
A,W99-0613,W09-1116,0
A,W99-0613,P07-1125,0
A,W06-2925,D07-1101,0
A,W06-2925,D08-1059,0
A,W06-2925,J08-3003,1
A,W06-2925,J11-1005,0
A,W06-2925,N12-1032,1
A,W06-2925,P10-1002,0
A,W06-2925,W07-2217,0
A,W03-0428,D07-1016,0
A,W03-0428,D08-1003,0
A,W03-0428,D11-1144,1
A,W03-0428,P05-1001,1
A,W03-0428,P05-2023,0
A,W03-0428,P09-1116,1
A,W03-0428,P11-3019,0
A,W03-0428,W07-1712,0
A,C00-2105,D07-1091,0
A,P04-1084,C08-2026,0
A,P04-1084,C10-2157,0
A,P04-1084,D07-1078,0
A,P04-1084,P04-1083,1
A,P04-1084,P06-1123,0
A,P04-1084,P10-1146,0
A,P05-1045,C10-1064,1
A,P05-1045,C10-1083,1
A,P05-1045,C10-1087,1
A,P05-1045,C10-1091,1
A,P05-1045,C10-1105,1
A,P05-1045,C10-1131,1
A,P05-1045,C10-2058,0
A,P05-1045,C10-2078,1
A,P05-1045,C10-3011,1
A,P05-1045,D07-1033,0
A,P05-1045,D08-1035,0
A,P05-1045,D09-1016,1
A,P05-1045,D09-1057,1
A,P05-1045,D09-1101,1
A,P05-1045,D09-1119,0
A,P05-1045,D09-1120,1
A,P05-1045,D09-1158,1
A,P05-1045,D10-1048,1
A,P05-1045,D10-1099,1
A,P05-1045,D11-1034,1
A,P05-1045,D11-1072,1
A,P05-1045,D11-1075,0
A,P05-1045,D11-1135,1
A,P05-1045,D11-1141,1
A,P05-1045,D11-1144,0
A,P05-1045,D12-1009,1
A,P05-1045,D12-1042,0
A,P05-1045,D12-1072,0
A,P05-1045,D12-1076,1
A,P05-1045,D12-1080,1
A,P05-1045,D12-1092,0
A,P05-1045,D12-1131,0
A,P05-1045,D13-1040,1
A,P05-1045,D13-1042,1
A,P05-1045,D13-1043,1
A,P05-1045,D13-1103,1
A,P05-1045,D13-1117,0
A,P05-1045,D13-1136,1
A,P05-1045,D13-1142,0
A,P05-1045,D13-1159,0
A,P05-1045,D13-1178,1
A,P05-1045,D13-1191,1
A,P05-1045,E09-1007,0
A,P05-1045,E09-1011,1
A,P05-1045,E09-1037,0
A,P05-1045,E09-1091,1
A,P05-1045,E12-1029,1
A,P05-1045,E12-1033,1
A,P05-1045,E12-1054,1
A,P05-1045,I08-4013,0
A,P05-1045,I08-5014,1
A,P05-1045,I08-6004,1
A,P05-1045,J11-1002,0
A,P05-1045,D11-1034,1
A,P05-1045,D11-1034,1
A,P05-1045,N06-1054,1
A,P05-1045,N07-1009,0
A,P05-1045,N07-1011,0
A,P05-1045,N07-1042,0
A,P05-1045,N07-2046,0
A,P05-1045,N09-1037,1
A,P05-1045,N09-1068,1
A,P05-1045,N10-1068,0
A,P05-1045,N10-1072,1
A,P05-1045,N10-1117,0
A,P05-1045,N10-1121,1
A,P05-1045,N12-1008,1
A,P05-1045,N12-1013,0
A,P05-1045,N12-1065,1
A,P05-1045,N12-1080,1
A,P05-1045,N12-1084,0
A,P05-1045,N12-1085,0
A,P05-1045,N13-1006,1
A,P05-1045,N13-1007,0
A,P05-1045,N13-1037,0
A,P05-1045,N13-1059,1
A,P05-1045,N13-1063,0
A,P05-1045,P06-1059,0
A,P05-1045,P06-1089,0
A,P05-1045,P06-1141,1
A,P05-1045,P06-2054,0
A,P05-1045,P08-1031,0
A,P05-1045,P08-2012,1
A,P05-1045,P08-4003,1
A,P05-1045,P09-1113,1
A,P05-1045,P09-2041,1
A,P05-1045,P10-1015,1
A,P05-1045,P10-1056,1
A,P05-1045,P10-1148,1
A,P05-1045,P10-2029,1
A,P05-1045,P10-2049,1
A,P05-1045,P11-1037,1
A,P05-1045,P11-1082,0
A,P05-1045,P11-1113,0
A,P05-1045,P11-1114,1
A,P05-1045,P11-3004,1
A,P05-1045,P12-1042,1
A,P05-1045,P12-1072,1
A,P05-1045,P12-1073,0
A,P05-1045,P12-1075,1
A,P05-1045,P12-1087,1
A,P05-1045,P12-1089,0
A,P05-1045,P12-2013,1
A,P05-1045,P12-2024,1
A,P05-1045,P12-2064,0
A,P05-1045,P12-2069,1
A,P05-1045,P12-3003,0
A,P05-1045,P12-3013,1
A,P05-1045,P13-1106,1
A,P05-1045,P13-1129,0
A,P05-1045,P13-1146,0
A,P05-1045,P13-1166,0
A,P05-1045,P13-2036,1
A,P05-1045,P13-2116,0
A,P05-1045,P13-2128,0
A,P05-1045,P13-2141,1
A,P05-1045,P13-4023,0
A,P05-1045,Q13-1028,1
A,P05-1045,S10-1020,1
A,P05-1045,S12-1035,1
A,P05-1045,S12-1082,1
A,P05-1045,S12-1085,1
A,P05-1045,S13-1010,1
A,P05-1045,S13-1014,0
A,P05-1045,S13-1018,0
A,P05-1045,S13-1021,1
A,P05-1045,S13-1023,1
A,P05-1045,W06-1643,0
A,P05-1045,W06-1655,0
A,P05-1045,W09-0422,1
A,P05-1045,W09-1119,1
A,P05-1045,W09-1218,0
A,P05-1045,W10-0725,1
A,P05-1045,W10-1902,0
A,P05-1045,W10-2420,0
A,P05-1045,W10-2906,1
A,P05-1045,W10-3102,1
A,P05-1045,W11-0219,1
A,P05-1045,W11-0810,0
A,P05-1045,W11-0902,1
A,P05-1045,W11-1513,1
A,P05-1045,W11-1723,0
A,P05-1045,W11-1907,1
A,P05-1045,W11-1908,1
A,P05-1045,W11-2202,1
A,P05-1045,W11-2705,1
A,P05-1045,W12-0102,1
A,P05-1045,W12-0103,1
A,P05-1045,W12-0604,1
A,P05-1045,W12-2007,1
A,P05-1045,W12-2408,1
A,P05-1045,W12-2903,1
A,P05-1045,W12-3109,1
A,P05-1045,W13-0905,1
A,P05-1045,W13-1101,0
A,P05-1045,W13-2114,1
A,P05-1045,W13-2234,1
A,P05-1045,W13-2414,0
A,P05-1045,W13-3516,1
A,P05-1045,W13-3616,1
A,P05-1045,W13-4008,1
B,P05-1045,C10-1064,1
B,P05-1045,C10-1083,1
B,P05-1045,C10-1087,1
B,P05-1045,C10-1091,1
B,P05-1045,C10-1105,1
B,P05-1045,C10-1131,1
B,P05-1045,C10-2058,0
B,P05-1045,C10-2078,1
B,P05-1045,C10-3011,1
B,P05-1045,D07-1033,1
B,P05-1045,D08-1035,0
B,P05-1045,D09-1016,1
B,P05-1045,D09-1057,1
B,P05-1045,D09-1101,1
B,P05-1045,D09-1119,0
B,P05-1045,D09-1120,1
B,P05-1045,D09-1158,1
B,P05-1045,D10-1048,1
B,P05-1045,D10-1099,1
B,P05-1045,D11-1034,1
B,P05-1045,D11-1072,1
B,P05-1045,D11-1075,1
B,P05-1045,D11-1135,1
B,P05-1045,D11-1141,0
B,P05-1045,D11-1144,0
B,P05-1045,D12-1009,0
B,P05-1045,D12-1042,1
B,P05-1045,D12-1072,0
B,P05-1045,D12-1076,1
B,P05-1045,D12-1080,0
B,P05-1045,D12-1092,0
B,P05-1045,D12-1131,0
B,P05-1045,D13-1040,1
B,P05-1045,D13-1042,1
B,P05-1045,D13-1043,1
B,P05-1045,D13-1103,1
B,P05-1045,D13-1117,1
B,P05-1045,D13-1136,1
B,P05-1045,D13-1142,0
B,P05-1045,D13-1159,0
B,P05-1045,D13-1178,1
B,P05-1045,D13-1191,1
B,P05-1045,E09-1007,0
B,P05-1045,E09-1011,1
B,P05-1045,E09-1037,0
B,P05-1045,E09-1091,1
B,P05-1045,E12-1029,1
B,P05-1045,E12-1033,1
B,P05-1045,E12-1054,1
B,P05-1045,I08-4013,0
B,P05-1045,I08-5014,1
B,P05-1045,I08-6004,1
B,P05-1045,J11-1002,0
B,P05-1045,D11-1034,1
B,P05-1045,J13-2001,0
B,P05-1045,N06-1054,0
B,P05-1045,N07-1009,0
B,P05-1045,N07-1011,0
B,P05-1045,N07-1042,0
B,P05-1045,N07-2046,0
B,P05-1045,N09-1037,1
B,P05-1045,N09-1068,1
B,P05-1045,N10-1068,0
B,P05-1045,N10-1072,1
B,P05-1045,N10-1117,0
B,P05-1045,N10-1121,1
B,P05-1045,N12-1008,0
B,P05-1045,N12-1013,1
B,P05-1045,N12-1065,1
B,P05-1045,N12-1080,1
B,P05-1045,N12-1084,1
B,P05-1045,N12-1085,0
B,P05-1045,N13-1006,1
B,P05-1045,N13-1007,1
B,P05-1045,N13-1037,0
B,P05-1045,N13-1059,1
B,P05-1045,N13-1063,0
B,P05-1045,P06-1059,0
B,P05-1045,P06-1089,0
B,P05-1045,P06-1141,1
B,P05-1045,P06-2054,0
B,P05-1045,P08-1031,0
B,P05-1045,P08-2012,1
B,P05-1045,P08-4003,1
B,P05-1045,P09-1113,1
B,P05-1045,P09-2041,1
B,P05-1045,P10-1015,1
B,P05-1045,P10-1056,1
B,P05-1045,P10-1148,1
B,P05-1045,P10-2029,1
B,P05-1045,P10-2049,1
B,P05-1045,P11-1037,1
B,P05-1045,P11-1082,1
B,P05-1045,P11-1113,0
B,P05-1045,P11-1114,1
B,P05-1045,P11-3004,1
B,P05-1045,P12-1042,1
B,P05-1045,P12-1072,1
B,P05-1045,P12-1073,1
B,P05-1045,P12-1075,1
B,P05-1045,P12-1087,1
B,P05-1045,P12-1089,1
B,P05-1045,P12-2013,1
B,P05-1045,P12-2024,1
B,P05-1045,P12-2064,1
B,P05-1045,P12-2069,1
B,P05-1045,P12-3003,0
B,P05-1045,P12-3013,1
B,P05-1045,P13-1106,1
B,P05-1045,P13-1129,1
B,P05-1045,P13-1146,0
B,P05-1045,P13-1166,1
B,P05-1045,P13-2036,1
B,P05-1045,P13-2116,1
B,P05-1045,P13-2128,0
B,P05-1045,P13-2141,1
B,P05-1045,P13-4023,0
B,P05-1045,Q13-1028,1
B,P05-1045,S10-1020,1
B,P05-1045,S12-1035,1
B,P05-1045,S12-1082,1
B,P05-1045,S12-1085,1
B,P05-1045,S13-1010,1
B,P05-1045,S13-1014,1
B,P05-1045,S13-1018,1
B,P05-1045,S13-1021,1
B,P05-1045,S13-1023,1
B,P05-1045,W06-1643,0
B,P05-1045,W06-1655,0
B,P05-1045,W09-0422,1
B,P05-1045,W09-1119,0
B,P05-1045,W09-1218,0
B,P05-1045,W10-0725,1
B,P05-1045,W10-1902,0
B,P05-1045,W10-2420,1
B,P05-1045,W10-2906,1
B,P05-1045,W10-3102,0
B,P05-1045,W11-0219,1
B,P05-1045,W11-0810,0
B,P05-1045,W11-0902,1
B,P05-1045,W11-1513,1
B,P05-1045,W11-1723,0
B,P05-1045,W11-1907,1
B,P05-1045,W11-1908,1
B,P05-1045,W11-2202,1
B,P05-1045,W11-2705,1
B,P05-1045,W12-0102,1
B,P05-1045,W12-0103,1
B,P05-1045,W12-0604,1
B,P05-1045,W12-2007,1
B,P05-1045,W12-2408,1
B,P05-1045,W12-2903,1
B,P05-1045,W12-3109,1
B,P05-1045,W13-0905,1
B,P05-1045,W13-1101,0
B,P05-1045,W13-2114,1
B,P05-1045,W13-2234,1
B,P05-1045,W13-2414,0
B,P05-1045,W13-3516,1
B,P05-1045,W13-3616,1
B,P05-1045,W13-4008,1
